timestamp,header_stamp,rudder,propeller,covariance
1738937794849037732,1738937794.8478546,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937794887595981,1738937794.8863628,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937795394443980,1738937795.3934395,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937795506480467,1738937795.5054913,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937795929990532,1738937795.9288177,2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937796436879214,1738937796.4359767,2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937796661654919,1738937796.6606784,5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937796941416306,1738937796.940198,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937797184422390,1738937797.1830437,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937797570665932,1738937797.5695999,12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937797815941906,1738937797.8148098,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937798037355042,1738937798.0362067,17.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937798333037235,1738937798.3319063,20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937798661199884,1738937798.660177,22.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937799167799264,1738937799.166484,22.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937799675446231,1738937799.674444,22.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937799947547000,1738937799.946476,25.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937800176805265,1738937800.1755002,27.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937800687460389,1738937800.6863868,27.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937801195775811,1738937801.1936936,27.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937801701580148,1738937801.7006233,27.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937802208186916,1738937802.207054,27.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937802399707010,1738937802.3985467,25.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937802644617759,1738937802.6435113,22.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937802852913032,1738937802.8519268,20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937803187612882,1738937803.1865747,17.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937803693997122,1738937803.6928701,17.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937804200191833,1738937804.1991308,17.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937804253049360,1738937804.2507133,15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937804517389607,1738937804.5160208,12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937805024426802,1738937805.0230222,12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937805140175232,1738937805.1390374,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937805646731984,1738937805.6456053,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937805673114444,1738937805.6719344,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937805909235175,1738937805.908044,5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937806148240253,1738937806.1470642,2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937806406242550,1738937806.4051385,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937806690000907,1738937806.6889384,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937806968012939,1738937806.9668014,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937807474718092,1738937807.4736285,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937807504321700,1738937807.5030756,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937808011055556,1738937808.0099518,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937808518203617,1738937808.5168378,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937808604025489,1738937808.602998,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937809005993084,1738937809.004884,-12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937809192015844,1738937809.190998,-15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937809448337079,1738937809.447295,-17.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937809954475291,1738937809.9534929,-17.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937810068411628,1738937810.0674522,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937810574219280,1738937810.5731738,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937811081718290,1738937811.0804267,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937811588609343,1738937811.5873413,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937812095053840,1738937812.0940912,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
